id,latitude,longitude,Review_num,Rating,Categories,Price
z0zaCVA-p_5xTsyUZrmR0g,34.064154,-118.343684,2,2,"French, Breakfast & Brunch, Cocktail Bars",1.0
XgQ8riUvnMOBVfRG29NCEQ,34.0701519575396,-118.3076326,1,2,"Korean, Bars, Tapas/Small Plates",
dnYh7aAv1O5RwseWGdLOKQ,34.09948,-118.33167,2,1,"Mexican, Cocktail Bars, Breakfast & Brunch",
wwTc59Ul8abQO0dLon5jkA,34.08841220860647,-118.343722784439,1,2,"New American, Seafood, Vegetarian",
3FlrvSaW-TSwkQDsCpKYEg,34.07211,-118.367363,2,2,"Italian, Pizza",
T4eGk9bvqtHS_M3IVlv72g,34.060420911180366,-118.309614,1,2,"Asian Fusion, Breakfast & Brunch, Wine Bars",1.0
o8Y0SXqQuIC7HOWe45w8PQ,34.057451,-118.295235,0,2,"Sushi Bars, Korean, Barbeque",1.0
1RJCu-0D5ZEnVRBKwqodGQ,34.07587723057971,-118.3233931,2,2,"New American, Breakfast & Brunch, Cocktail Bars",1.0
HuQtriV_ApipXfM8xax33w,34.060415,-118.345018,2,2,"Italian, Cocktail Bars",1.0
25fipMHUHLZTq0sVQINi5g,34.145172,-118.369529,2,1,"New American, Breakfast & Brunch, Beer, Wine & Spirits",1.0
o3yPf6EwWGYNcN3OnZFOPg,34.102376584352314,-118.3273158,1,2,"Cocktail Bars, New American, Wine Bars",
ccJcaRCHQkJmmnGC1SN4hQ,34.06309,-118.29754,2,2,"Asian Fusion, Chicken Shop",1.0
ohosmz6FXVAeoW5nUkYwng,34.09053958699736,-118.27712889122982,2,2,"Taiwanese, Wine Bars, Tapas/Small Plates",1.0
gdt3KaVt_KM0Mgwi69iMfw,34.062128,-118.313381,0,2,"Korean, Comfort Food, Soup",
mogBbg16id_H0pw_YQ3YbA,34.0327954,-118.3477496,2,2,"Italian, Mediterranean, Tapas/Small Plates",1.0
JhFb3lEHS8N6F3oMjJx1Iw,34.10237501283114,-118.32733166957146,1,2,Italian,
A1uhJRnDhxIbn2HzLFaMXg,34.05243,-118.30441,0,2,"Korean, Comfort Food",
IXX4iFv3YcU5TVyjncfQHg,34.061463,-118.311848,1,2,"Seafood, Korean, Barbeque",2.0
z7hrUyqC0c7hgRbHaN4vRw,34.063811,-118.29736,0,2,Korean,2.0
bJvQKjdfoSVoEDSca9hfHg,34.03973,-118.25852,2,2,Peruvian,1.0
V_t4QBPg-eC9-rpD1TRYQg,34.09932,-118.33115,2,1,Italian,2.0
gd6PYDx-leOM97a3MWoO1g,34.0500282776566,-118.24852800000085,2,2,"Italian, Wine Bars",1.0
e0Vs3U-XkLkZ7EJ6JgPAYQ,34.07033,-118.292183,1,2,"Vegetarian, Pizza, Wine Bars",1.0
LJEsTC6Juzr0lL-hla7nVw,34.08865,-118.34291,1,2,French,2.0
nkTDDiUVcNUzt1dPT76blw,34.097844,-118.319237,0,2,New American,
irWMpwJ1JFx5ih4TTQVo6Q,34.0834042177801,-118.31321932635932,1,2,"Cocktail Bars, New American",1.0
AIhWsp8yNfKZfaX9d9Yajg,34.0476,-118.317234,2,2,"Delis, Italian, Sandwiches",1.0
labimxMfErB-poVmmw9n4g,34.09562,-118.29534,2,2,"Middle Eastern, Cocktail Bars",2.0
Upxdio_qS0j-lSnN4EmvjQ,34.08335711316832,-118.2866445,0,2,"Izakaya, Sushi Bars, Beer Bar",
1YedTUOBgR5XmJ1BMlv70Q,34.0903625488281,-118.373489379883,2,2,"Bars, New American, Venues & Event Spaces",2.0
xDIX5kboLJPUz6rDENbeCA,34.08446,-118.30949,0,2,Italian,
Tykto4okKk2seF86k28dww,34.09447,-118.37434,1,1,"Mexican, Mediterranean",2.0
fEY0zHaDMfIW3-N__joDKQ,34.03366320238671,-118.22924462080344,2,2,"Italian, Cocktail Bars, Pizza",2.0
DvektCSGOlP-WNR3fZ4YZA,34.09083206673238,-118.2779915,0,2,"Korean, Bars",2.0
RJi83-A92s-KqFutK9sVdQ,34.08367939117117,-118.32395787428786,1,2,"Ramen, Cocktail Bars",1.0
BAdOTHAvXneDDu4Maqk67g,34.05916423861513,-118.308797031641,2,2,"Soup, Korean",1.0
lRScnMRd-FBlT5QQyrUEUQ,34.046459,-118.238403,2,2,"Italian, Japanese",1.0
PI1TAMjFy1wO9OCiA-VWBA,34.04484,-118.26453,2,2,"Soul Food, Comfort Food, American",1.0
VjCMQkJviJquiJQEawPWfw,34.083612,-118.33985,1,1,New American,2.0
-gZdC8aD42jiBeaAQH1-1g,34.097885,-118.302049,1,2,"Wine Bars, New American",
ld3O8sfn0-z-JKBJdofz2g,34.101802,-118.335394,2,2,"Steakhouses, American, Bars",2.0
bc7Ji4IyEyOZVNJGs1-Bkw,34.044795,-118.265289,1,2,"Comfort Food, Barbeque, New American",1.0
_d3dOIo2dKrBhy4Bmq7stA,34.089695,-118.344703,1,2,"Noodles, Chinese",1.0
pkt6c5JNnFFzZFWJUqvTLg,34.062795,-118.351899,0,2,"Sandwiches, Breakfast & Brunch, Coffee & Tea",
dlwxg5OJLJWTPp-saTgDwA,34.083809,-118.352811,1,2,"Vegan, African",
-pBE_2eSws9dICmU370bTQ,34.06151275641556,-118.3051741336309,0,2,"Korean, Specialty Food, Soup",1.0
S3z6erO2TeljEc-dTPqc9Q,34.141468,-118.388418,2,1,"New American, Lounges, Cocktail Bars",2.0
uzAbw27XQTXTivjgf2bN2w,34.06546312735243,-118.30961677418377,2,2,"Korean, Soup",1.0
P2-J1zY5rKOUsOQ8KryuZQ,34.125214560163364,-118.2905673236568,1,2,Pop-Up Restaurants,2.0
fLs0ykxe4Iw1_3htMWqcTQ,34.102202908406284,-118.29164025136004,2,2,"Mexican, Cocktail Bars, Venues & Event Spaces",
fEY0zHaDMfIW3-N__joDKQ,34.03366320238671,-118.22924462080344,2,2,"Italian, Cocktail Bars, Pizza",2.0
DvektCSGOlP-WNR3fZ4YZA,34.09083206673238,-118.2779915,0,2,"Korean, Bars",2.0
RJi83-A92s-KqFutK9sVdQ,34.08367939117117,-118.32395787428786,1,2,"Ramen, Cocktail Bars",1.0
BAdOTHAvXneDDu4Maqk67g,34.05916423861513,-118.308797031641,2,2,"Soup, Korean",1.0
CcqraT0cuGKYEcZ1ri_kxg,34.042734,-118.250779,2,2,"Hawaiian, Korean, Comfort Food",1.0
lRScnMRd-FBlT5QQyrUEUQ,34.046459,-118.238403,2,2,"Italian, Japanese",1.0
sXdOBghhw-ZU9S-1HxVZVA,34.090127,-118.277598,2,2,"Breakfast & Brunch, New American, Pizza",
PI1TAMjFy1wO9OCiA-VWBA,34.04484,-118.26453,2,2,"Soul Food, Comfort Food, American",1.0
VjCMQkJviJquiJQEawPWfw,34.083612,-118.33985,1,1,New American,2.0
H57RMyO6BWWh-lJZAsZGVA,34.09761883,-118.33281533,1,2,"New American, Breakfast & Brunch, Bakeries",
-gZdC8aD42jiBeaAQH1-1g,34.097885,-118.302049,1,2,"Wine Bars, New American",
bOvnQYw5JJDhpOn70_RUkQ,34.083653,-118.3419599,1,2,"Sandwiches, New American, Mediterranean",1.0
ld3O8sfn0-z-JKBJdofz2g,34.101802,-118.335394,2,2,"Steakhouses, American, Bars",2.0
bc7Ji4IyEyOZVNJGs1-Bkw,34.044795,-118.265289,1,2,"Comfort Food, Barbeque, New American",1.0
_d3dOIo2dKrBhy4Bmq7stA,34.089695,-118.344703,1,2,"Noodles, Chinese",1.0
y4X0KfHJ5XWwxMIRukVr1Q,34.06229367,-118.29757617,1,2,Korean,1.0
pkt6c5JNnFFzZFWJUqvTLg,34.062795,-118.351899,0,2,"Sandwiches, Breakfast & Brunch, Coffee & Tea",
dlwxg5OJLJWTPp-saTgDwA,34.083809,-118.352811,1,2,"Vegan, African",
-pBE_2eSws9dICmU370bTQ,34.06151275641556,-118.3051741336309,0,2,"Korean, Specialty Food, Soup",1.0
S3z6erO2TeljEc-dTPqc9Q,34.141468,-118.388418,2,1,"New American, Lounges, Cocktail Bars",2.0
uzAbw27XQTXTivjgf2bN2w,34.06546312735243,-118.30961677418377,2,2,"Korean, Soup",1.0
P2-J1zY5rKOUsOQ8KryuZQ,34.125214560163364,-118.2905673236568,1,2,Pop-Up Restaurants,2.0
23Qrcz2i9e2e8MstUIIO0A,34.0621807,-118.348153,2,2,Japanese,1.0
fLs0ykxe4Iw1_3htMWqcTQ,34.102202908406284,-118.29164025136004,2,2,"Mexican, Cocktail Bars, Venues & Event Spaces",
JqAjeYMIRTkMpsvsZpqscw,34.0986175537109,-118.329124450684,1,2,"Lounges, Italian, Cocktail Bars",
0MbnNM2IvNWMQ1YsPfDTjQ,34.0921328,-118.3805803,2,1,New American,1.0
