"GISJOIN","FIPS","ADI_NATRANK","ADI_STATERNK"
"G06000104096005","060014096005","25","7"
"G06000104097001","060014097001","31","8"
"G06000104097002","060014097002","28","8"
"G06000104097003","060014097003","28","8"
"G06000104097004","060014097004","31","8"
"G06000104098001","060014098001","9","4"
"G06000104098002","060014098002","12","5"
"G06000104098003","060014098003","9","4"
"G06000104099001","060014099001","5","2"
"G06000104099002","060014099002","4","2"
"G06000104099003","060014099003","4","2"
"G06000104099004","060014099004","4","2"
"G06000104100001","060014100001","5","2"
"G06000104100002","060014100002","5","2"
"G06000104100003","060014100003","PH","PH"
"G06000104101001","060014101001","13","5"
"G06000104101002","060014101002","13","5"
"G06000104102001","060014102001","27","8"
"G06000104102002","060014102002","26","8"
"G06000104102003","060014102003","19","6"
"G06000104103001","060014103001","25","7"
"G06000104103002","060014103002","27","8"
"G06000104103003","060014103003","24","7"
"G06000104104001","060014104001","29","8"
"G06000104104002","060014104002","16","6"
"G06000104104003","060014104003","18","6"
"G06000104105001","060014105001","3","2"
"G06000104105002","060014105002","12","5"
"G06000104201001","060014201001","3","2"
"G06000104201002","060014201002","2","1"
"G06000104201003","060014201003","3","2"
"G06000104202001","060014202001","6","3"
"G06000104202002","060014202002","6","3"
"G06000104202003","060014202003","7","3"
"G06000104203011","060014203011","11","4"
"G06000104203021","060014203021","6","3"
"G06000104203022","060014203022","5","2"
"G06000104204011","060014204011","6","3"
"G06000104204012","060014204012","6","3"
"G06000104204021","060014204021","6","3"
"G06000104204022","060014204022","6","3"
"G06000104205001","060014205001","4","2"
"G06000104205002","060014205002","4","2"
"G06000104206001","060014206001","2","1"
"G06000104206002","060014206002","2","1"
"G06000104206003","060014206003","3","2"
"G06000104211001","060014211001","2","1"
"G06000104211002","060014211002","2","1"
"G06000104212001","060014212001","1","1"
"G06000104212002","060014212002","1","1"
"G06000104212003","060014212003","1","1"
"G06000104212004","060014212004","2","1"
"G06000104213001","060014213001","2","1"
"G06000104213002","060014213002","2","1"
"G06000104213003","060014213003","2","1"
"G06000104213004","060014213004","2","1"
"G06000104214001","060014214001","1","1"
"G06000104214002","060014214002","1","1"
"G06000104215001","060014215001","2","1"
"G06000104215002","060014215002","2","1"
"G06000104215003","060014215003","2","1"
"G06000104216001","060014216001","2","1"
"G06000104216002","060014216002","2","1"
"G06000104216003","060014216003","2","1"
"G06000104216004","060014216004","2","1"
"G06000104217001","060014217001","4","2"
"G06000104217002","060014217002","3","2"
"G06000104217003","060014217003","4","2"
"G06000104218001","060014218001","3","2"
"G06000104218002","060014218002","2","1"
"G06000104219001","060014219001","3","2"
"G06000104219002","060014219002","4","2"
"G06000104219003","060014219003","4","2"
"G06000104219004","060014219004","5","2"
"G06000104220001","060014220001","5","2"
"G06000104220002","060014220002","4","2"
"G06000104221001","060014221001","4","2"
"G06000104221002","060014221002","6","3"
"G06000104222001","060014222001","4","2"
"G06000104222002","060014222002","5","2"
"G06000104222003","060014222003","5","2"
"G06000104223001","060014223001","4","2"
"G06000104223002","060014223002","2","1"
"G06000104223003","060014223003","4","2"
"G06000104224001","060014224001","5","2"
"G06000104224002","060014224002","5","2"
"G06000104224003","060014224003","5","2"
"G06000104224004","060014224004","5","2"
"G06000104225001","060014225001","4","2"
"G06000104225002","060014225002","GQ","GQ"
"G06000104225003","060014225003","GQ","GQ"
"G06000104227001","060014227001","1","1"
"G06000104227002","060014227002","GQ","GQ"
"G06000104227003","060014227003","GQ","GQ"
"G06000104227004","060014227004","GQ","GQ"
"G06000104228001","060014228001","GQ","GQ"
"G06000104228002","060014228002","GQ","GQ"
"G06000104228003","060014228003","7","3"
"G06000104228004","060014228004","7","3"
"G06000104229011","060014229011","7","3"
"G06000104229012","060014229012","6","3"
"G06000104229021","060014229021","6","3"
"G06000104229022","060014229022","7","3"
"G06000104229023","060014229023","7","3"
"G06000104230001","060014230001","5","2"
"G06000104230002","060014230002","3","2"
"G06000104230003","060014230003","4","2"
"G06000104231001","060014231001","4","2"
"G06000104231002","060014231002","4","2"
"G06000104231003","060014231003","4","2"
"G06000104231004","060014231004","4","2"
"G06000104232001","060014232001","4","2"
"G06000104232002","060014232002","4","2"
"G06000104233001","060014233001","4","2"
"G06000104233002","060014233002","5","2"
"G06000104233003","060014233003","4","2"
"G06000104234001","060014234001","5","2"
"G06000104234002","060014234002","5","2"
"G06000104234003","060014234003","5","2"
"G06000104234004","060014234004","5","2"
"G06000104235001","060014235001","4","2"
"G06000104235002","060014235002","4","2"
"G06000104235003","060014235003","4","2"
"G06000104236011","060014236011","2","1"
"G06000104236012","060014236012","3","2"
"G06000104236021","060014236021","5","2"
"G06000104236022","060014236022","6","3"
"G06000104236023","060014236023","5","2"
"G06000104237001","060014237001","GQ","GQ"
"G06000104237002","060014237002","1","1"
"G06000104237003","060014237003","11","4"
"G06000104238001","060014238001","1","1"
"G06000104238002","060014238002","1","1"
"G06000104238003","060014238003","2","1"
"G06000104239011","060014239011","4","2"
"G06000104239012","060014239012","2","1"
"G06000104239021","060014239021","2","1"
"G06000104239022","060014239022","3","2"
"G06000104240011","060014240011","4","2"
"G06000104240012","060014240012","4","2"
"G06000104240013","060014240013","5","2"
"G06000104240014","060014240014","4","2"
"G06000104240021","060014240021","5","2"
"G06000104240022","060014240022","5","2"
"G06000104251011","060014251011","21","7"
"G06000104251012","060014251012","PH","PH"
"G06000104251021","060014251021","13","5"
"G06000104251022","060014251022","5","2"
"G06000104251023","060014251023","12","5"
"G06000104251031","060014251031","8","3"
"G06000104251032","060014251032","7","3"
"G06000104251033","060014251033","7","3"
"G06000104251041","060014251041","11","4"
"G06000104251042","060014251042","11","4"
"G06000104251043","060014251043","11","4"
"G06000104251044","060014251044","11","4"
"G06000104251045","060014251045","11","4"
"G06000104261001","060014261001","1","1"
"G06000104261002","060014261002","1","1"
"G06000104261003","060014261003","1","1"
"G06000104261004","060014261004","1","1"
"G06000104261005","060014261005","1","1"
"G06000104261006","060014261006","1","1"
"G06000104262001","060014262001","1","1"
"G06000104262002","060014262002","1","1"
"G06000104262003","060014262003","1","1"
"G06000104271001","060014271001","3","2"
"G06000104271002","060014271002","2","1"
"G06000104271003","060014271003","2","1"
"G06000104272001","060014272001","5","2"
"G06000104272002","060014272002","4","2"
"G06000104272003","060014272003","6","3"
"G06000104272004","060014272004","11","4"
"G06000104272005","060014272005","GQ-PH","GQ-PH"
"G06000104273001","060014273001","5","2"
"G06000104273002","060014273002","5","2"
"G06000104273003","060014273003","5","2"
"G06000104273004","060014273004","5","2"
"G06000104273005","060014273005","5","2"
"G06000104276001","060014276001","5","2"
"G06000104276002","060014276002","8","3"
"G06000104276003","060014276003","14","5"
"G06000104277001","060014277001","6","3"
"G06000104277002","060014277002","6","3"
"G06000104277003","060014277003","5","2"
"G06000104277004","060014277004","8","3"
"G06000104278001","060014278001","3","2"
"G06000104278002","060014278002","2","1"
"G06000104278003","060014278003","4","2"
"G06000104278004","060014278004","6","3"
"G06000104278005","060014278005","5","2"
"G06000104279001","060014279001","2","1"
"G06000104279002","060014279002","2","1"
"G06000104279003","060014279003","2","1"
"G06000104279004","060014279004","2","1"
"G06000104279005","060014279005","2","1"
"G06000104280001","060014280001","7","3"
"G06000104280002","060014280002","6","3"
"G06000104280003","060014280003","6","3"
"G06000104281001","060014281001","3","2"
"G06000104281002","060014281002","3","2"
"G06000104281003","060014281003","4","2"
"G06000104281004","060014281004","5","2"
"G06000104282001","060014282001","4","2"
"G06000104282002","060014282002","4","2"
"G06000104282003","060014282003","3","2"
"G06000104282004","060014282004","3","2"
"G06000104282005","060014282005","4","2"
"G06000104283011","060014283011","5","2"
"G06000104283012","060014283012","5","2"
"G06000104283013","060014283013","6","3"
"G06000104283014","060014283014","4","2"
"G06000104283021","060014283021","2","1"
"G06000104283022","060014283022","2","1"
"G06000104283023","060014283023","3","2"
"G06000104284001","060014284001","8","3"
"G06000104284002","060014284002","9","4"
"G06000104284003","060014284003","3","2"
"G06000104285001","060014285001","5","2"
"G06000104285002","060014285002","5","2"
"G06000104285003","060014285003","5","2"
"G06000104286001","060014286001","2","1"
"G06000104286002","060014286002","9","4"
"G06000104287001","060014287001","2","1"
"G06000104287002","060014287002","3","2"
"G06000104287003","060014287003","3","2"
"G06000104301011","060014301011","3","2"
"G06000104301012","060014301012","3","2"
"G06000104301013","060014301013","3","2"
"G06000104301014","060014301014","3","2"
"G06000104301021","060014301021","3","2"
"G06000104302001","060014302001","3","2"
"G06000104302002","060014302002","5","2"
"G06000104302003","060014302003","5","2"
"G06000104302004","060014302004","4","2"
"G06000104302005","060014302005","5","2"
"G06000104303001","060014303001","3","2"
"G06000104303002","060014303002","5","2"
"G06000104303003","060014303003","4","2"
"G06000104304001","060014304001","3","2"
"G06000104304002","060014304002","2","1"
"G06000104305001","060014305001","8","3"
"G06000104305002","060014305002","9","4"
"G06000104305003","060014305003","11","4"
"G06000104306001","060014306001","4","2"
"G06000104306002","060014306002","5","2"
"G06000104306003","060014306003","6","3"
"G06000104306004","060014306004","4","2"
"G06000104307001","060014307001","5","2"
"G06000104307002","060014307002","6","3"
"G06000104307003","060014307003","5","2"
"G06000104308001","060014308001","7","3"
"G06000104308002","060014308002","9","4"
"G06000104308003","060014308003","9","4"
"G06000104308004","060014308004","9","4"
"G06000104309001","060014309001","9","4"
"G06000104309002","060014309002","10","4"
"G06000104309003","060014309003","7","3"
"G06000104310001","060014310001","14","5"
"G06000104310002","060014310002","12","5"
"G06000104311001","060014311001","11","4"
"G06000104311002","060014311002","10","4"
"G06000104312001","060014312001","10","4"
"G06000104312002","060014312002","7","3"
"G06000104312003","060014312003","11","4"
"G06000104321001","060014321001","8","3"
"G06000104321002","060014321002","7","3"
"G06000104321003","060014321003","4","2"
"G06000104322001","060014322001","6","3"
"G06000104322002","060014322002","6","3"
"G06000104322003","060014322003","6","3"
"G06000104323001","060014323001","10","4"
"G06000104323002","060014323002","10","4"
"G06000104323003","060014323003","9","4"
"G06000104324001","060014324001","16","6"
"G06000104324002","060014324002","13","5"
"G06000104324003","060014324003","16","6"
"G06000104325011","060014325011","11","4"
"G06000104325012","060014325012","11","4"
"G06000104325013","060014325013","11","4"
"G06000104325021","060014325021","12","5"
"G06000104325022","060014325022","12","5"
"G06000104325023","060014325023","11","4"
"G06000104326011","060014326011","19","6"
"G06000104326012","060014326012","22","7"
"G06000104326021","060014326021","15","6"
"G06000104326022","060014326022","30","8"
"G06000104326023","060014326023","11","4"
"G06000104327001","060014327001","5","2"
"G06000104327002","060014327002","9","4"
"G06000104327003","060014327003","7","3"
"G06000104328001","060014328001","4","2"
"G06000104328002","060014328002","4","2"
"G06000104328003","060014328003","8","3"
"G06000104330001","060014330001","10","4"
"G06000104330002","060014330002","11","4"
"G06000104330003","060014330003","10","4"
"G06000104330004","060014330004","10","4"
"G06000104331021","060014331021","10","4"
"G06000104331022","060014331022","11","4"
"G06000104331031","060014331031","14","5"
"G06000104331032","060014331032","14","5"
"G06000104331041","060014331041","16","6"
"G06000104331042","060014331042","15","6"
"G06000104331043","060014331043","15","6"
"G06000104332001","060014332001","12","5"
"G06000104332002","060014332002","12","5"
"G06000104332003","060014332003","12","5"
"G06000104332004","060014332004","12","5"
"G06000104333001","060014333001","9","4"
"G06000104333002","060014333002","10","4"
"G06000104333003","060014333003","9","4"
"G06000104333004","060014333004","10","4"
"G06000104333005","060014333005","8","3"
"G06000104334001","060014334001","10","4"
"G06000104334002","060014334002","10","4"
"G06000104334003","060014334003","10","4"
"G06000104334004","060014334004","10","4"
"G06000104334005","060014334005","10","4"
"G06000104334006","060014334006","10","4"
"G06000104335001","060014335001","7","3"
"G06000104335002","060014335002","10","4"
"G06000104335003","060014335003","11","4"
"G06000104335004","060014335004","12","5"
"G06000104336001","060014336001","8","3"
"G06000104336002","060014336002","10","4"
"G06000104336003","060014336003","12","5"
"G06000104336004","060014336004","14","5"
"G06000104337001","060014337001","12","5"
"G06000104337002","060014337002","12","5"
"G06000104337003","060014337003","11","4"
"G06000104338011","060014338011","14","5"
"G06000104338012","060014338012","14","5"
"G06000104338021","060014338021","12","5"
"G06000104338022","060014338022","10","4"
"G06000104339001","060014339001","16","6"
"G06000104339002","060014339002","16","6"
"G06000104339003","060014339003","16","6"
"G06000104339004","060014339004","14","5"
"G06000104340001","060014340001","16","6"
"G06000104340002","060014340002","18","6"
"G06000104340003","060014340003","18","6"
"G06000104351021","060014351021","5","2"
"G06000104351022","060014351022","GQ","GQ"
"G06000104351023","060014351023","5","2"
"G06000104351031","060014351031","2","1"
"G06000104351032","060014351032","3","2"
"G06000104351033","060014351033","2","1"
"G06000104351034","060014351034","3","2"
"G06000104351041","060014351041","9","4"
"G06000104351042","060014351042","7","3"
"G06000104351043","060014351043","10","4"
"G06000104351044","060014351044","11","4"
"G06000104352001","060014352001","7","3"
"G06000104352002","060014352002","7","3"
"G06000104353001","060014353001","11","4"
"G06000104353002","060014353002","12","5"
"G06000104353003","060014353003","12","5"
"G06000104354001","060014354001","18","6"
"G06000104354002","060014354002","12","5"
"G06000104354003","060014354003","13","5"
"G06000104355001","060014355001","17","6"
"G06000104355002","060014355002","12","5"
"G06000104355003","060014355003","14","5"
"G06000104356011","060014356011","11","4"
"G06000104356012","060014356012","12","5"
"G06000104356013","060014356013","15","6"
"G06000104356021","060014356021","13","5"
"G06000104356022","060014356022","12","5"
"G06000104356023","060014356023","13","5"
"G06000104356024","060014356024","12","5"
"G06000104357001","060014357001","18","6"
"G06000104357002","060014357002","9","4"
"G06000104357003","060014357003","11","4"
"G06000104357004","060014357004","10","4"
"G06000104358001","060014358001","15","6"
"G06000104358002","060014358002","9","4"
"G06000104358003","060014358003","9","4"
"G06000104358004","060014358004","10","4"
"G06000104359001","060014359001","9","4"
"G06000104359002","060014359002","10","4"
"G06000104359003","060014359003","11","4"
"G06000104359004","060014359004","8","3"
"G06000104360001","060014360001","10","4"
"G06000104360002","060014360002","9","4"
"G06000104360003","060014360003","11","4"
"G06000104361001","060014361001","9","4"
"G06000104361002","060014361002","11","4"
"G06000104361003","060014361003","9","4"
"G06000104362001","060014362001","29","8"
"G06000104362002","060014362002","21","7"
"G06000104363011","060014363011","10","4"
"G06000104363012","060014363012","8","3"
"G06000104363021","060014363021","10","4"
"G06000104363022","060014363022","9","4"
"G06000104363023","060014363023","10","4"
"G06000104364021","060014364021","4","2"
"G06000104364022","060014364022","5","2"
"G06000104364031","060014364031","12","5"
"G06000104364032","060014364032","12","5"
"G06000104364033","060014364033","12","5"
"G06000104364034","060014364034","12","5"
"G06000104364041","060014364041","9","4"
"G06000104364042","060014364042","7","3"
"G06000104364043","060014364043","6","3"
"G06000104365001","060014365001","12","5"
"G06000104365002","060014365002","12","5"
"G06000104365003","060014365003","12","5"
"G06000104366011","060014366011","11","4"
"G06000104366012","060014366012","12","5"
"G06000104366013","060014366013","12","5"
"G06000104366021","060014366021","13","5"
"G06000104366022","060014366022","9","4"
"G06000104366023","060014366023","12","5"
"G06000104367001","060014367001","9","4"
"G06000104367002","060014367002","13","5"
"G06000104368001","060014368001","11","4"
"G06000104368002","060014368002","9","4"
"G06000104369001","060014369001","14","5"
"G06000104369002","060014369002","12","5"
"G06000104369003","060014369003","11","4"
"G06000104369004","060014369004","11","4"
"G06000104370001","060014370001","10","4"
"G06000104370002","060014370002","10","4"
"G06000104370003","060014370003","11","4"
"G06000104371011","060014371011","3","2"
"G06000104371012","060014371012","9","4"
"G06000104371013","060014371013","10","4"
"G06000104371014","060014371014","9","4"
"G06000104371021","060014371021","18","6"
"G06000104371022","060014371022","14","5"
"G06000104371023","060014371023","10","4"
"G06000104372001","060014372001","9","4"
"G06000104372002","060014372002","9","4"
"G06000104372003","060014372003","9","4"
"G06000104372004","060014372004","9","4"
"G06000104372005","060014372005","9","4"
"G06000104373001","060014373001","12","5"
"G06000104373002","060014373002","12","5"
"G06000104373003","060014373003","12","5"
"G06000104374001","060014374001","10","4"
"G06000104374002","060014374002","10","4"
"G06000104375001","060014375001","11","4"
"G06000104375002","060014375002","11","4"
"G06000104376001","060014376001","11","4"
"G06000104376002","060014376002","10","4"
